representation,variant,mean_auc,std_auc,ci_low,ci_high
concat,full_k3,0.4083333333333334,0.07893484576879345,0.2675501207729469,0.5096099321327979
kg,bipartite_k10,0.37777777777777777,0.1304372986874877,0.2330703211517165,0.46175832491163504
kg,bipartite_k3,0.4055555555555556,0.23516969181979488,0.2695963168747852,0.5105826866223209
kg,bipartite_k5,0.39722222222222225,0.24347186569030113,0.261106289660321,0.49498327759197325
kg,full_k10,0.40555555555555556,0.11085038855130508,0.2887305857149812,0.523845558505129
kg,full_k3,0.3694444444444444,0.13700105884064104,0.2690827323555628,0.5044352077756107
kg,full_k5,0.39166666666666666,0.12203268131382665,0.2978175584929667,0.5427854308390023
kg,subject_only_k10,0.4083333333333334,0.17419346772347943,0.2732777777777778,0.5255199715021143
kg,subject_only_k3,0.45,0.18571682944940862,0.32049121974371136,0.5750411845215877
kg,subject_only_k5,0.513888888888889,0.16167287120587245,0.3493867448490251,0.6053919408538972
pca,baseline,0.41944444444444445,0.12123973801552887,0.28497034368070956,0.5321178479143596
raw,baseline,0.41944444444444445,0.12123973801552887,0.28497034368070956,0.5321178479143596
